text_a,text_b,score,label_type
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร กองพัฒนานิสิต DSA ค้างที่ชั้น 5 ใช้งานไม่ได้,0.0005,DIFFERENT
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง ป้ายรถเมล์หน้า ม.,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา,0.9474,DUPLICATE
ถังขยะหน้า คณะแพทยศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกแพทย์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9646,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ประตู 1 ม.พะเยา,0.0389,DIFFERENT
สัญญาณเน็ต UP-WiFi ตึก CE หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก CE,0.0119,DIFFERENT
ก๊อกน้ำและท่อประปาที่ คณะแพทยศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.065,DIFFERENT
หลอดไฟทางเดินหน้า กองพัฒนานิสิต DSA ดับสนิท มืดมาก,ถังขยะหน้า กองพัฒนานิสิต DSA ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0879,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 1 คณะวิทยาศาสตร์ แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 1 ตึกวิทย์,0.9573,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi ตึก PKY หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ อาคารสงวนเสริมศรี ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9668,DUPLICATE
ก๊อกน้ำและท่อประปาที่ คณะศิลปศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0436,DIFFERENT
ลิฟต์โดยสาร กองพัฒนานิสิต DSA ค้างที่ชั้น 8 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกกิจกรรมนิสิต DSA เสีย ติดค้างอยู่ที่ชั้น 8 กดปุ่มเปิดไม่ไป,0.921,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ โรงอาหารกลาง,0.0186,DIFFERENT
แอร์ห้อง 3202 โรงอาหารสงวนเสริมศรี มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 8 โรงอาหารสงวนเสริมศรี แตก น้ำนองพื้น,0.06,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะแพทยศาสตร์,0.0212,DIFFERENT
ก๊อกน้ำและท่อประปาที่ ประตู 1 ม.พะเยา ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0759,DIFFERENT
สัญญาณเน็ต UP-WiFi ทางเดิน Skywalk หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ทางเดิน Skywalk,0.019,DIFFERENT
ไฟในห้องน้ำหญิง ตึก ICT ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง อาคารเทคโนโลยีสารสนเทศและการสื่อสาร ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.962,DUPLICATE
คนขับรถชัตเติลบัสสาย 1 (สีม่วง) ขับเร็วและเบรกกระชากแรงมากตรง คณะนิติศาสตร์,รถเมล์ มพ. สาย 1 (สีม่วง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ตึกนิติศาสตร์,0.9243,DUPLICATE
สัญญาณเน็ต UP-WiFi กองพัฒนานิสิต DSA หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง กองพัฒนานิสิต DSA,0.0516,DIFFERENT
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก CE มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0445,DIFFERENT
เครื่องปรับอากาศห้อง 1204 ตึก EN เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3203 ตึก EN เสีย ไม่เย็น,0.1786,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi ตึก EN หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ อาคารคณะวิศวกรรมศาสตร์ ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9898,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะเภสัชศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกเภสัช รถผ่านไม่ได้ การจราจรติดขัด,0.9772,DUPLICATE
ถังขยะหน้า ตึก EN ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ อาคารคณะวิศวกรรมศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.987,DUPLICATE
หลอดไฟทางเดินหน้า ตึก ICT ดับสนิท มืดมาก,ถังขยะหน้า ตึก ICT ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0983,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi ประตู 1 ม.พะเยา หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ประตูหน้ามอ ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9476,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก EN ค้างที่ชั้น 4 ใช้งานไม่ได้,0.0399,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะพยาบาลศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกพยาบาล,0.962,DUPLICATE
เว็บลงทะเบียนเรียน Reg UP ล่ม เข้าสู่ระบบไม่ได้ หน้าจอขึ้น 504 Gateway Timeout,ระบบ REG ม.พะเยา ค้าง เข้าเช็คผลการเรียนและลงทะเบียนวิชาไม่ได้เลย,0.9224,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก ICT,0.0001,DIFFERENT
รถเมล์มอสาย 3 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะนิติศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0478,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi คณะเภสัชศาสตร์ หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ตึกเภสัช ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9324,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะวิทยาศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกวิทย์ รถผ่านไม่ได้ การจราจรติดขัด,0.9639,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะพยาบาลศาสตร์,0.0027,DIFFERENT
รถเมล์มอสาย 2 (สีเขียว) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย โรงอาหารกลาง,รอรถบัส มพ. สาย 2 (สีเขียว) ที่ โรงอาหารใหญ่ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9796,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร หอพักลุมพินี ค้างที่ชั้น 1 ใช้งานไม่ได้,0.0312,DIFFERENT
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะเกษตรศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกเกษตร สกปรกมาก ไม่ถูกสุขอนามัย,0.9868,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะศิลปศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกศิลปศาสตร์ รถผ่านไม่ได้ การจราจรติดขัด,0.9319,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะศิลปศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกศิลปศาสตร์,0.9626,DUPLICATE
หลอดไฟทางเดินหน้า ตึก PKY ดับสนิท มืดมาก,ถังขยะหน้า ตึก PKY ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0904,DIFFERENT
ถังขยะหน้า โรงอาหารกลาง ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ โรงอาหารใหญ่ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9663,DUPLICATE
ไฟในห้องน้ำหญิง ตึก ICT ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง อาคารเทคโนโลยีสารสนเทศและการสื่อสาร ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9604,DUPLICATE
สัญญาณเน็ต UP-WiFi คณะพยาบาลศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะพยาบาลศาสตร์,0.0332,DIFFERENT
ลิฟต์โดยสาร ทางเดิน Skywalk ค้างที่ชั้น 8 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ สะพานสกายวอล์ค เสีย ติดค้างอยู่ที่ชั้น 8 กดปุ่มเปิดไม่ไป,0.9258,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด หอพักลุมพินี,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ หอพักใน มพ.,0.9512,DUPLICATE
หลอดไฟทางเดินหน้า ป้ายหอพักใน ดับสนิท มืดมาก,ถังขยะหน้า ป้ายหอพักใน ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0614,DIFFERENT
เครื่องปรับอากาศห้อง 1304 ตึก EN เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3204 ตึก EN เสีย ไม่เย็น,0.1714,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะนิติศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกนิติศาสตร์ รถผ่านไม่ได้ การจราจรติดขัด,0.9642,DUPLICATE
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะพยาบาลศาสตร์ ค้างที่ชั้น 7 ใช้งานไม่ได้,0.0,DIFFERENT
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะวิทยาศาสตร์,0.0339,DIFFERENT
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะวิทยาศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกวิทย์,0.9851,DUPLICATE
ลิฟต์โดยสาร หอพักลุมพินี ค้างที่ชั้น 5 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ หอพักใน มพ. เสีย ติดค้างอยู่ที่ชั้น 5 กดปุ่มเปิดไม่ไป,0.9281,DUPLICATE
ไฟในห้องน้ำหญิง ป้ายหอพักใน ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ป้ายรอรถหอใน มพ. ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9517,DUPLICATE
คนขับรถชัตเติลบัสสาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชากแรงมากตรง ป้ายรถเมล์หน้า ม.,รถเมล์ มพ. สาย 4 (สีน้ำเงิน) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา,0.9101,DUPLICATE
ลิฟต์โดยสาร โรงอาหารสงวนเสริมศรี ค้างที่ชั้น 3 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ โรงอาหาร PKY เสีย ติดค้างอยู่ที่ชั้น 3 กดปุ่มเปิดไม่ไป,0.9215,DUPLICATE
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง กองพัฒนานิสิต DSA รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกกิจกรรมนิสิต DSA รถผ่านไม่ได้ การจราจรติดขัด,0.9271,DUPLICATE
รถเมล์มอสาย 2 (สีเขียว) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ตึก EN,รอรถบัส มพ. สาย 2 (สีเขียว) ที่ อาคารคณะวิศวกรรมศาสตร์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9361,DUPLICATE
ถังขยะหน้า คณะเกษตรศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกเกษตร เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9847,DUPLICATE
ก๊อกน้ำและท่อประปาที่ ตึก ICT ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0804,DIFFERENT
รถเมล์มอสาย 4 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร คณะพยาบาลศาสตร์ มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0337,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง หอพักลุมพินี รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ หอพักใน มพ. รถผ่านไม่ได้ การจราจรติดขัด,0.9525,DUPLICATE
ลิฟต์โดยสาร ป้ายหอพักใน ค้างที่ชั้น 8 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ป้ายรอรถหอใน มพ. เสีย ติดค้างอยู่ที่ชั้น 8 กดปุ่มเปิดไม่ไป,0.9247,DUPLICATE
ถังขยะหน้า คณะวิทยาศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกวิทย์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9478,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ คณะเภสัชศาสตร์,0.0126,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร ตึก CE ค้างที่ชั้น 1 ใช้งานไม่ได้,0.0,DIFFERENT
ไฟในห้องน้ำหญิง ทางเดิน Skywalk ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง สะพานสกายวอล์ค ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.9726,DUPLICATE
โปรเจกเตอร์ห้อง 4402 คณะวิทยาศาสตร์ เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 4402 ตึกวิทย์ พัง จอภาพมืดสนิท,0.9364,DUPLICATE
รถเมล์มอสาย 1 รอนานมาก ไม่ยอมจอดรับที่ป้าย,อาหารที่โรงอาหาร ตึก CE มีรสเปรี้ยวบูด กินแล้วท้องเสีย,0.0302,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง ตึก ICT รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ อาคารเทคโนโลยีสารสนเทศและการสื่อสาร รถผ่านไม่ได้ การจราจรติดขัด,0.9445,DUPLICATE
เครื่องปรับอากาศห้อง 1404 คณะเกษตรศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3403 คณะเกษตรศาสตร์ เสีย ไม่เย็น,0.1785,DIFFERENT
ไฟในห้องน้ำหญิง ทางเดิน Skywalk ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง สะพานสกายวอล์ค ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.94,DUPLICATE
ก๊อกน้ำและท่อประปาที่ คณะแพทยศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0548,DIFFERENT
คนขับรถชัตเติลบัสสาย 2 (สีเขียว) ขับเร็วและเบรกกระชากแรงมากตรง หอพักลุมพินี,รถเมล์ มพ. สาย 2 (สีเขียว) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว หอพักใน มพ.,0.9235,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก PKY,0.0209,DIFFERENT
สัญญาณเน็ต UP-WiFi ตึก ICT หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก ICT,0.0266,DIFFERENT
ลิฟต์โดยสาร คณะพยาบาลศาสตร์ ค้างที่ชั้น 7 ประตูปิดไม่สนิท น่ากลัวมาก,ลิฟต์ ตึกพยาบาล เสีย ติดค้างอยู่ที่ชั้น 7 กดปุ่มเปิดไม่ไป,0.9291,DUPLICATE
รถเมล์มอสาย 2 (สีเขียว) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย คณะนิติศาสตร์,รอรถบัส มพ. สาย 2 (สีเขียว) ที่ ตึกนิติศาสตร์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.947,DUPLICATE
คนขับรถชัตเติลบัสสาย 4 (สีน้ำเงิน) ขับเร็วและเบรกกระชากแรงมากตรง ตึก ICT,รถเมล์ มพ. สาย 4 (สีน้ำเงิน) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว อาคารเทคโนโลยีสารสนเทศและการสื่อสาร,0.9652,DUPLICATE
แอร์ห้อง 2201 ประตู 1 ม.พะเยา มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 8 ประตู 1 ม.พะเยา แตก น้ำนองพื้น,0.051,DIFFERENT
รถเมล์มอสาย 3 (สีแดง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย ป้ายหอพักใน,รอรถบัส มพ. สาย 3 (สีแดง) ที่ ป้ายรอรถหอใน มพ. นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9478,DUPLICATE
สัญญาณเน็ต UP-WiFi คณะเกษตรศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะเกษตรศาสตร์,0.0536,DIFFERENT
หลอดไฟทางเดินหน้า โรงอาหารสงวนเสริมศรี ดับสนิท มืดมาก,ถังขยะหน้า โรงอาหารสงวนเสริมศรี ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0866,DIFFERENT
สัญญาณเน็ต UP-WiFi คณะวิทยาศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะวิทยาศาสตร์,0.0335,DIFFERENT
แอร์ห้อง 3201 ทางเดิน Skywalk มีน้ำรั่วหยดและไม่เย็นเลย,สายชำระห้องน้ำหญิงชั้น 3 ทางเดิน Skywalk แตก น้ำนองพื้น,0.0478,DIFFERENT
ก๊อกน้ำและท่อประปาที่ ประตู 1 ม.พะเยา ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0405,DIFFERENT
ตารางสอบปลายภาควิชา GEN001 ชนกัน ขอทำเรื่องสอบซ้ำ,ลิฟต์โดยสาร คณะศิลปศาสตร์ ค้างที่ชั้น 4 ใช้งานไม่ได้,0.0146,DIFFERENT
ก๊อกน้ำและท่อประปาที่ ตึก EN ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.076,DIFFERENT
ก๊อกน้ำและท่อประปาที่ คณะศิลปศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0513,DIFFERENT
แอร์ห้อง 2204 ป้ายรถเมล์หน้า ม. มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 2204 ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9692,DUPLICATE
เครื่องปรับอากาศห้อง 1303 คณะศิลปศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3304 คณะศิลปศาสตร์ เสีย ไม่เย็น,0.1631,DIFFERENT
สัญญาณเน็ต UP-WiFi คณะแพทยศาสตร์ หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง คณะแพทยศาสตร์,0.0257,DIFFERENT
ถังขยะหน้า คณะเภสัชศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกเภสัช เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.958,DUPLICATE
เครื่องปรับอากาศห้อง 1203 คณะแพทยศาสตร์ เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3202 คณะแพทยศาสตร์ เสีย ไม่เย็น,0.1607,DIFFERENT
ไฟในห้องน้ำหญิง หอพักลุมพินี ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง หอพักใน มพ. ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.971,DUPLICATE
สุนัขจรจัดฝูงใหญ่ดุมาก วิ่งไล่กวดรถมอเตอร์ไซค์ตรง โรงอาหารกลาง,หมาจรจัดตรง โรงอาหารใหญ่ ดุ วิ่งไล่เห่านิสิตที่เดินผ่านตอนกลางคืน,0.9711,DUPLICATE
คนขับรถชัตเติลบัสสาย 3 (สีแดง) ขับเร็วและเบรกกระชากแรงมากตรง ป้ายหอพักใน,รถเมล์ มพ. สาย 3 (สีแดง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว ป้ายรอรถหอใน มพ.,0.9167,DUPLICATE
โปรเจกเตอร์ห้อง 3304 ประตู 1 ม.พะเยา เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 3304 ประตูหน้ามอ พัง จอภาพมืดสนิท,0.9367,DUPLICATE
หลอดไฟทางเดินหน้า ตึก ICT ดับสนิท มืดมาก,ถังขยะหน้า ตึก ICT ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.105,DIFFERENT
ถังขยะหน้า หอพักลุมพินี ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ หอพักใน มพ. เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9772,DUPLICATE
พบแมลงสาบและสิ่งสกปรกปนเปื้อนในจานข้าวที่ คณะเกษตรศาสตร์,เจอแมลงสาบตัวเล็กในอาหารร้านข้าวที่ ตึกเกษตร สกปรกมาก ไม่ถูกสุขอนามัย,0.9791,DUPLICATE
ถังขยะหน้า คณะเภสัชศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกเภสัช เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9873,DUPLICATE
คนขับรถชัตเติลบัสสาย 3 (สีแดง) ขับเร็วและเบรกกระชากแรงมากตรง ทางเดิน Skywalk,รถเมล์ มพ. สาย 3 (สีแดง) ซิ่งเร็ว เบรกกะทันหัน ผู้โดยสารเกือบหัวทิ่มแถว สะพานสกายวอล์ค,0.9541,DUPLICATE
หลอดไฟทางเดินหน้า กองพัฒนานิสิต DSA ดับสนิท มืดมาก,ถังขยะหน้า กองพัฒนานิสิต DSA ขยะล้นถัง ส่งกลิ่นเหม็นเน่า,0.0951,DIFFERENT
กิ่งไม้ใหญ่หักโค่นพาดขวางถนนตรง คณะศิลปศาสตร์ รถสัญจรไม่ได้,ต้นไม้ล้มขวางทางจราจรบริเวณ ตึกศิลปศาสตร์ รถผ่านไม่ได้ การจราจรติดขัด,0.9754,DUPLICATE
ถังขยะหน้า คณะศิลปศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกศิลปศาสตร์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9858,DUPLICATE
มีคนร้ายกรีดเบาะรถและขโมยหมวกกันน็อคตรงลานจอด คณะเกษตรศาสตร์,โดนขโมยหมวกกันน็อคและเบาะรถจักรยานยนต์โดนกรีดที่ลานจอดรถ ตึกเกษตร,0.9408,DUPLICATE
ถังขยะหน้า คณะแพทยศาสตร์ ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ ตึกแพทย์ เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9532,DUPLICATE
